,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
0,4.9,12.2,30.3,20.9,40.7,8.1,107.3,54.6,1.1,61.3,1.4,15.8,22.5,7.1,3.5,1.4,2.8,60.8,36.6,10.9,12.1,2.8,64.7,12.4,115.6,44.8,189.3,25.2,2.9,22.8,56.2,20.5,36.0
1,1.6,23.6,0.1,26.7,6.2,1.8,59.2,9.4,1.5,4.7,2.8,1.2,14.7,1.6,2.5,1.4,1.1,3.2,18.9,18.7,27.1,3.0,56.8,22.6,2.4,14.9,98.7,12.4,6.1,39.8,31.6,1.2,16.5
2,1.9,10.0,0.3,16.5,4.9,0.2,60.5,5.1,4.7,0.5,3.0,6.2,17.7,2.3,10.7,5.9,3.3,5.2,22.2,31.8,25.3,1.2,25.6,7.7,8.4,6.2,94.7,18.3,23.4,31.1,31.6,1.2,15.0
3,17.6,3.7,0.3,4.2,43.6,0.1,100.1,21.1,52.0,11.4,26.1,5.5,74.3,1.8,31.6,10.4,7.7,0.0,80.6,33.6,62.2,59.6,1.6,137.4,2.4,19.6,148.8,102.5,59.9,79.3,22.1,12.8,37.2
4,21.5,0.0,0.1,233.4,46.9,1.2,111.9,8.1,67.2,6.6,55.7,37.7,77.9,10.7,54.3,23.7,49.2,1.7,63.1,80.1,72.3,58.3,371.0,72.8,0.1,0.3,97.4,81.4,101.4,55.4,142.2,21.4,51.5
5,137.1,0.3,0.3,124.7,46.3,95.8,258.1,47.4,229.6,51.4,161.8,206.4,161.8,242.8,200.4,200.4,235.5,166.2,87.8,260.9,205.4,174.6,140.1,169.1,89.6,13.1,312.2,192.7,147.5,214.2,131.4,107.6,126.9
6,85.4,0.8,19.6,142.7,20.2,102.6,256.0,74.5,130.6,96.9,104.2,240.6,156.8,174.2,140.4,165.0,184.0,282.4,14.7,291.7,191.4,133.7,165.5,263.7,167.0,106.0,268.4,132.9,94.2,263.3,175.7,81.1,139.8
7,68.3,0.0,22.9,194.1,30.0,122.5,249.0,61.2,109.2,99.1,90.5,244.5,59.8,130.3,153.2,184.7,107.6,257.5,47.1,236.9,144.0,58.1,143.3,79.9,140.2,70.1,302.9,53.5,105.9,169.3,156.9,65.3,118.8
8,47.6,13.5,18.5,154.6,44.3,103.0,259.0,66.2,68.7,76.4,46.5,176.5,66.5,121.8,121.5,100.8,142.2,165.8,51.0,195.5,155.6,57.1,154.0,99.1,158.2,58.0,260.8,62.6,94.3,184.6,179.2,47.1,106.1
9,50.7,17.3,15.6,32.8,41.6,52.4,192.0,14.2,49.1,49.4,30.8,81.8,19.7,61.1,35.2,49.0,32.6,46.1,73.8,124.8,105.0,21.3,67.2,39.2,73.8,31.6,277.8,91.3,38.3,113.0,69.0,29.0,65.5
