,IPC,AGUASCALIENTES_x,BAJA CALIFORNIA_x,BAJA CALIFORNIA SUR_x,CAMPECHE_x,COAHUILA_x,COLIMA_x,CHIAPAS_x,CHIHUAHUA_x,DISTRITO FEDERAL_x,DURANGO_x,GUANAJUATO_x,GUERRERO_x,HIDALGO_x,JALISCO_x,ESTADO DE MÉXICO_x,MICHOACÁN_x,MORELOS_x,NAYARIT_x,NUEVO LEÓN_x,OAXACA_x,PUEBLA_x,QUERÉTARO_x,QUINTANA ROO_x,SAN LUIS POTOSÍ_x,SINALOA_x,SONORA_x,TABASCO_x,TAMAULIPAS_x,TLAXCALA_x,VERACRUZ_x,YUCATÁN_x,ZACATECAS_x,NACIONAL_x,AGUASCALIENTES_y,BAJA CALIFORNIA_y,BAJA CALIFORNIA SUR_y,CAMPECHE_y,COAHUILA_y,COLIMA_y,CHIAPAS_y,CHIHUAHUA_y,DISTRITO FEDERAL_y,DURANGO_y,GUANAJUATO_y,GUERRERO_y,HIDALGO_y,JALISCO_y,ESTADO DE MÉXICO_y,MICHOACÁN_y,MORELOS_y,NAYARIT_y,NUEVO LEÓN_y,OAXACA_y,PUEBLA_y,QUERÉTARO_y,QUINTANA ROO_y,SAN LUIS POTOSÍ_y,SINALOA_y,SONORA_y,TABASCO_y,TAMAULIPAS_y,TLAXCALA_y,VERACRUZ_y,YUCATÁN_y,ZACATECAS_y,NACIONAL_y,carros
02/1991,36.17999999999995,19.6,16.4,5.399999999999999,21.400000000000006,9.1,1.5,-20.0,3.6999999999999993,-10.9,2.3,5.9,-0.8999999999999999,0.5,3.6999999999999997,-8.299999999999999,3.1999999999999997,-0.30000000000000004,0.8,2.900000000000002,-2.8,0.8999999999999986,0.3000000000000007,0.3000000000000007,9.799999999999999,-3.8999999999999995,27.400000000000002,-78.89999999999999,7.0,0.7999999999999998,-22.7,-19.800000000000004,8.4,4.200000000000003,1.6999999999999993,2.700000000000001,1.3999999999999986,-0.20000000000000284,1.5,1.1000000000000014,-0.1999999999999993,2.0999999999999996,1.1999999999999993,1.0,1.200000000000001,1.1000000000000014,0.1999999999999993,1.6999999999999993,1.0,1.1999999999999993,1.6000000000000014,1.1999999999999993,2.200000000000001,0.1999999999999993,0.8999999999999986,0.5,-0.6000000000000014,0.5,1.6999999999999993,2.8999999999999986,-1.3000000000000007,1.6000000000000014,1.4000000000000004,-0.20000000000000284,-0.6000000000000014,1.3999999999999986,1.0,58924.0
03/1991,144.18200000000002,-19.6,17.2,-11.899999999999999,-66.7,-15.0,-2.5,-4.5,-21.0,-2.6,-3.9,-8.9,-0.3,-15.3,-5.1,-2.9,-6.1,-0.8,-1.5,-5.300000000000001,7.1000000000000005,-9.399999999999999,-8.8,-12.600000000000001,-15.999999999999998,-4.8,-12.0,-69.6,1.1999999999999993,0.20000000000000018,-11.399999999999999,-26.599999999999998,-11.8,-11.400000000000002,2.6999999999999993,-2.5,0.40000000000000213,2.400000000000002,5.000000000000002,-0.1999999999999993,1.8999999999999986,2.5999999999999996,3.0000000000000018,3.5999999999999996,2.9999999999999982,1.0999999999999979,3.8000000000000007,1.6999999999999993,2.5,2.1000000000000014,1.8000000000000007,0.9000000000000021,5.0,2.099999999999998,2.6999999999999993,3.6999999999999993,2.1000000000000014,4.399999999999999,0.09999999999999787,-0.5,3.3000000000000007,4.899999999999999,2.700000000000001,4.100000000000001,2.1999999999999993,3.0,2.3999999999999986,59185.0
04/1991,97.793,0.0,-40.9,-2.8,0.5,10.0,0.0,36.3,-3.4,40.6,0.3,2.5,0.9,20.0,0.0,11.5,0.9,14.9,0.0,37.0,1.799999999999999,27.2,6.9,-3.8999999999999986,5.1,-1.5,-37.2,-25.0,28.700000000000003,23.799999999999997,-1.5,-9.0,2.0,-0.5,2.5,3.099999999999998,2.5,2.099999999999998,2.5,1.0,1.6999999999999993,3.8999999999999986,0.5999999999999979,2.6999999999999993,2.1000000000000014,1.1999999999999993,1.5999999999999979,2.0,1.1999999999999993,1.6999999999999993,2.0,1.1999999999999993,2.8000000000000007,1.4000000000000021,1.4000000000000021,2.0,1.6999999999999993,2.400000000000002,3.0,3.8000000000000007,2.5,2.8000000000000007,1.0999999999999979,2.5,2.1000000000000014,2.400000000000002,2.1000000000000014,59466.0
05/1991,195.0299000000001,3.7,0.0,0.0,78.39999999999999,-5.5,0.0,82.8,-0.9,31.6,-0.19999999999999998,9.3,61.5,0.5999999999999979,2.3,31.299999999999997,1.6,50.699999999999996,0.0,15.700000000000003,87.7,89.9,2.6999999999999993,9.8,26.0,0.0,0.0,72.8,18.39999999999999,46.199999999999996,88.60000000000001,28.7,3.0,20.1,1.7000000000000028,1.7000000000000028,0.5999999999999979,-0.29999999999999716,2.5,0.7999999999999972,-0.3000000000000007,4.0,0.1999999999999993,2.8000000000000007,1.3999999999999986,0.8000000000000007,0.3000000000000007,1.5,0.3000000000000007,1.1999999999999993,-0.10000000000000142,1.1999999999999993,1.6999999999999993,0.3000000000000007,0.0,0.20000000000000284,0.8000000000000007,1.7999999999999972,2.0,3.3000000000000007,0.29999999999999716,1.1999999999999993,-0.3999999999999986,0.8999999999999986,0.3999999999999986,2.299999999999997,1.1000000000000014,59759.0
06/1991,-38.15000000000009,68.3,0.0,0.0,31.0,78.1,83.6,125.1,30.6,209.7,23.5,139.6,140.6,120.9,115.5,140.7,138.5,182.5,84.5,44.400000000000006,233.2,108.79999999999998,131.70000000000002,24.299999999999997,57.8,14.5,5.2,155.7,90.9,72.30000000000001,140.7,45.6,53.6,69.60000000000001,-0.20000000000000284,2.299999999999997,2.6000000000000014,-0.3000000000000007,1.2999999999999972,0.9000000000000021,-0.3999999999999986,2.5,-1.3999999999999986,1.0,-1.0999999999999979,-1.3000000000000007,-1.0999999999999979,0.3999999999999986,-1.0,-0.7999999999999972,-1.0,2.3999999999999986,0.6999999999999993,-1.3000000000000007,-1.0,-1.5,0.1999999999999993,-1.0,3.5,3.6999999999999993,-0.5,0.20000000000000284,-0.8000000000000007,-1.0,-0.6999999999999993,0.10000000000000142,0.1999999999999993,60038.0
07/1991,135.62999999999988,276.9,0.0,0.0,69.80000000000001,-41.099999999999994,6.700000000000003,-102.0,189.1,75.60000000000002,224.70000000000002,395.6,-80.8,25.0,177.59999999999997,75.19999999999999,47.099999999999994,108.79999999999998,216.2,-31.60000000000001,-211.5,-7.899999999999977,193.39999999999998,108.6,276.9,99.1,39.5,-46.39999999999998,35.099999999999994,-84.80000000000001,3.0999999999999943,104.5,261.5,71.6,-2.8999999999999986,2.8000000000000007,2.099999999999998,-0.5,-1.2999999999999972,-0.10000000000000142,-0.8000000000000007,-1.7999999999999972,-1.0,-2.8000000000000007,-2.400000000000002,-1.0999999999999979,-1.4000000000000021,-2.3999999999999986,-1.0,-2.1000000000000014,-1.6999999999999993,-1.5,-0.6000000000000014,-0.9000000000000021,-1.4000000000000021,-2.0,-0.3999999999999986,-2.599999999999998,-0.5,2.0,-0.8999999999999986,-2.0,-1.0,-1.5,-0.1999999999999993,-3.0,-1.1000000000000014,60345.0
08/1991,60.95010000000002,-258.2,0.0,1.4,25.799999999999983,-20.200000000000003,84.00000000000001,38.0,-137.1,-269.3,-119.9,-469.5,12.700000000000003,-127.80000000000001,-133.79999999999998,-111.1,-25.900000000000006,-183.39999999999998,-122.89999999999998,-55.3,-41.7,-126.80000000000001,-300.2,-9.699999999999989,-329.9,181.00000000000003,31.700000000000003,105.19999999999999,-160.29999999999998,14.100000000000001,-52.69999999999999,51.599999999999994,-204.70000000000002,-67.7,1.0,1.3000000000000007,2.1000000000000014,-0.3000000000000007,1.0,0.0,0.0,0.0,1.3999999999999986,0.5,0.7000000000000028,0.09999999999999787,0.3000000000000007,0.3999999999999986,0.20000000000000107,0.3000000000000007,0.5,0.3000000000000007,1.0,0.20000000000000284,0.10000000000000142,0.7999999999999972,0.0,1.5999999999999979,0.6000000000000014,-0.10000000000000142,0.1999999999999993,2.0,-0.09999999999999964,0.3000000000000007,0.0,1.1000000000000014,0.5,60627.0
09/1991,2.669900000000098,-38.800000000000004,2.7,9.299999999999999,0.30000000000001137,121.9,-12.100000000000023,-19.399999999999977,6.900000000000006,71.7,30.299999999999983,91.80000000000001,94.29999999999998,259.6,15.400000000000006,13.800000000000011,19.30000000000001,115.30000000000001,94.89999999999998,146.8,81.60000000000001,212.10000000000002,133.2,61.0,116.89999999999999,-88.90000000000003,-9.400000000000006,-64.5,257.2,83.2,220.89999999999998,-73.9,8.5,51.7,-1.3999999999999986,-0.8000000000000007,-0.8000000000000007,-0.6999999999999993,-3.3000000000000007,-0.3999999999999986,-0.3999999999999986,-2.3000000000000007,-1.1999999999999993,-1.8000000000000007,-1.2000000000000028,-0.8999999999999986,-0.8999999999999986,-0.8999999999999986,-0.5999999999999996,-1.0,-1.1000000000000014,-0.1999999999999993,-3.5,-0.7000000000000028,-0.6000000000000014,-1.0999999999999979,-0.7000000000000028,-2.0,-1.5,-1.8999999999999986,-1.0999999999999979,-3.1000000000000014,-0.29999999999999893,-1.0999999999999979,-0.8000000000000007,-1.3000000000000007,-1.1999999999999993,60787.0
10/1991,113.74000000000001,-12.600000000000001,-1.6,-8.1,-86.8,-144.9,-57.29999999999998,-11.900000000000006,-83.4,2.6999999999999886,-142.1,-119.50000000000001,-47.39999999999998,-209.50000000000003,-105.5,-55.30000000000001,-89.0,-11.300000000000011,-201.2,-116.9,3.5999999999999943,-127.00000000000003,-144.2,2.6999999999999886,-117.1,-199.0,-61.5,109.5,-217.6,-72.80000000000001,-107.39999999999998,40.60000000000002,-93.2,-83.3,-1.4000000000000021,-1.8000000000000007,-2.099999999999998,-0.6000000000000014,-1.6999999999999993,-0.10000000000000142,-0.5,-2.400000000000002,-1.0999999999999996,-2.099999999999998,-1.5,0.0,-1.4000000000000021,-0.8999999999999986,-0.6000000000000014,-0.6999999999999993,-0.1999999999999993,-0.3999999999999986,-1.2999999999999972,-0.5,-0.5999999999999979,-1.4000000000000021,-0.6999999999999993,-1.6999999999999993,-0.6000000000000014,-2.3999999999999986,-0.8000000000000007,-1.1000000000000014,-0.9000000000000004,-1.1000000000000014,-0.8000000000000007,-1.8000000000000007,-1.1000000000000014,60999.0
11/1991,13.170000000000073,-39.3,2.5,0.7999999999999998,-46.400000000000006,9.600000000000001,-51.400000000000006,-111.7,31.799999999999997,-133.1,26.6,-31.999999999999996,-169.60000000000002,-42.89999999999999,-41.7,-81.69999999999999,-74.9,-250.3,-25.799999999999997,-16.9,-141.1,-115.39999999999999,-1.1999999999999993,-166.3,-12.3,162.20000000000002,24.6,-40.0,-26.200000000000003,-27.599999999999994,-159.2,-174.9,-15.5,-28.900000000000006,-1.8999999999999986,-5.0,-5.300000000000001,-2.099999999999998,-5.200000000000001,-0.5999999999999979,-1.3000000000000007,-5.699999999999999,-1.5999999999999996,-3.5,-1.4999999999999982,-0.6000000000000014,-1.6999999999999993,-1.8000000000000007,-1.3999999999999986,-1.8000000000000007,-1.3999999999999986,-2.3000000000000007,-5.700000000000001,-1.0999999999999979,-1.200000000000001,-1.3999999999999986,-2.3999999999999986,-3.099999999999998,-4.899999999999999,-6.5,-2.6000000000000014,-5.5,-1.700000000000001,-2.8000000000000007,-1.8000000000000007,-2.1999999999999993,-2.6999999999999993,61299.0
